Date,Ticker,Open,High,Low,Close,Volume
2021-01-01,AAPL,,,,,
2021-01-01,BTC-USD,28994.009765625,29600.626953125,28803.5859375,29374.15234375,40730301359.0
2021-01-01,ETH-USD,737.7083740234375,749.2018432617188,719.792236328125,730.3675537109375,13652004358.0
2021-01-01,GOOGL,,,,,
2021-01-01,MSFT,,,,,
2021-01-02,AAPL,,,,,
2021-01-02,BTC-USD,29376.455078125,33155.1171875,29091.181640625,32127.267578125,67865420765.0
2021-01-02,ETH-USD,730.4026489257812,786.7984619140625,718.1094970703125,774.5349731445312,19740771179.0
2021-01-02,GOOGL,,,,,
2021-01-02,MSFT,,,,,
2021-01-03,AAPL,,,,,
2021-01-03,BTC-USD,32129.408203125,34608.55859375,32052.31640625,32782.0234375,78665235202.0
2021-01-03,ETH-USD,774.5118408203125,1006.5650024414062,771.5616455078125,975.5076904296875,45200463368.0
2021-01-03,GOOGL,,,,,
2021-01-03,MSFT,,,,,
2021-01-04,AAPL,130.24897423198516,130.3367658011868,123.65458151272391,126.23966217041016,143301900.0
2021-01-04,BTC-USD,32810.94921875,33440.21875,28722.755859375,31971.9140625,81163475344.0
2021-01-04,ETH-USD,977.058837890625,1153.189208984375,912.3053588867188,1040.2330322265625,56945985763.0
2021-01-04,GOOGL,87.47538543218987,87.599139702872,84.84814399864958,85.79198455810547,37324000.0
2021-01-04,MSFT,214.27769743835609,214.7302691361853,206.8439847035881,209.6171875,37130100.0
2021-01-05,AAPL,125.73243969109018,128.51262606882628,125.28370226628847,127.80049896240234,97664900.0
2021-01-05,BTC-USD,31977.041015625,34437.58984375,30221.1875,33992.4296875,67547324782.0
2021-01-05,ETH-USD,1041.498779296875,1129.3714599609375,986.811279296875,1100.006103515625,41535932781.0
2021-01-05,GOOGL,85.74028389100147,86.82080159667439,85.33322505728125,86.48382568359375,20360000.0
2021-01-05,MSFT,209.2031160874575,210.4163995999961,207.70096954139206,209.8193817138672,23823000.0
2021-01-06,AAPL,124.59108453530528,127.8395071446875,123.28390832194798,123.49851989746094,155088000.0
2021-01-06,BTC-USD,34013.61328125,36879.69921875,33514.03515625,36824.36328125,75289433811.0
2021-01-06,ETH-USD,1101.0050048828125,1209.4285888671875,1064.2333984375,1207.1121826171875,44699914188.0
2021-01-06,GOOGL,84.50619315150125,86.67866532532295,84.29943296719883,85.63044738769531,46588000.0
2021-01-06,MSFT,204.30191697152077,208.46172177562,204.08045037192136,204.3789520263672,35930700.0
2021-01-07,AAPL,125.21543998664202,128.40533576248683,124.72768897623675,127.71272277832031,109578200.0
2021-01-07,BTC-USD,36833.875,40180.3671875,36491.19140625,39371.04296875,84762141031.0
2021-01-07,ETH-USD,1208.078369140625,1282.57958984375,1167.443115234375,1225.6781005859375,40468027280.0
2021-01-07,GOOGL,85.82328752401315,88.36106903428461,85.82328752401315,88.1881103515625,41936000.0
2021-01-07,MSFT,206.10255291692314,211.2060111195895,205.78480353780907,210.1949462890625,27694500.0
2021-01-08,AAPL,129.18566766286617,129.3807798877027,127.03956715442062,128.8149871826172,105158200.0
2021-01-08,BTC-USD,39381.765625,41946.73828125,36838.63671875,40797.609375,88107519480.0
2021-01-08,ETH-USD,1225.9678955078125,1273.8275146484375,1076.08154296875,1224.1971435546875,44334826666.0
2021-01-08,GOOGL,88.32826671520765,89.4316499567786,87.53601343092207,89.35560607910156,35484000.0
2021-01-08,MSFT,210.57047302467421,212.4000223203444,208.98166743245133,211.47561645507812,22956200.0
2021-01-09,AAPL,,,,,
2021-01-09,BTC-USD,40788.640625,41436.3515625,38980.875,40254.546875,61984162837.0
2021-01-09,ETH-USD,1223.740478515625,1303.871826171875,1182.2703857421875,1281.0772705078125,33233105361.0
2021-01-09,GOOGL,,,,,
2021-01-09,MSFT,,,,,
2021-01-10,AAPL,,,,,
2021-01-10,BTC-USD,40254.21875,41420.19140625,35984.62890625,38356.44140625,79980747690.0
